bulba_set_name,bulba_release_date,bulba_abbrev
Shining Legends,2017-10-06,SLG
Sun & Moon—Crimson Invasion,2017-11-03,CIN
Sun & Moon—Ultra Prism,2018-02-02,UPR
Sun & Moon—Forbidden Light,2018-05-04,FLI
Sun & Moon—Celestial Storm,2018-08-03,CES
Dragon Majesty,2018-09-07,DRM
Sun & Moon—Lost Thunder,2018-11-02,LOT
Sun & Moon—Team Up,2019-02-01,TEU
Detective Pikachu,2019-03-29,DET
Sun & Moon—Unbroken Bonds,2019-05-03,UNB
Sun & Moon—Unified Minds,2019-08-02,UNM
Hidden Fates,2019-08-23,HIF
Sun & Moon—Cosmic Eclipse,2019-11-01,CEC
Sword & Shield,2020-02-07,SSH
Sword & Shield—Rebel Clash,2020-05-01,RCL
Sword & Shield—Darkness Ablaze,2020-08-14,DAA
Champion's Path,2020-09-25,CPA
Sword & Shield—Vivid Voltage,2020-11-13,VIV
Shining Fates,2021-02-19,SHF
Sword & Shield—Battle Styles,2021-03-19,BST
Sword & Shield—Chilling Reign,2021-06-18,CRE
Sword & Shield—Evolving Skies,2021-08-27,EVS
Celebrations,2021-10-08,CEL
Sword & Shield—Fusion Strike,2021-11-12,FST
Sword & Shield—Brilliant Stars,2022-02-25,BRS
Sword & Shield—Astral Radiance,2022-05-27,ASR
Pokémon TCG: Pokémon GO,2022-07-01,PGO
Sword & Shield—Lost Origin,2022-09-09,LOR
Sword & Shield—Silver Tempest,2022-11-11,SIT
Crown Zenith,2023-01-20,CRZ
Scarlet & Violet,2023-03-31,SVI
Scarlet & Violet—Paldea Evolved,2023-06-09,PAL
Scarlet & Violet—Obsidian Flames,2023-08-11,OBF
Scarlet & Violet—151,2023-09-22,MEW
Scarlet & Violet—Paradox Rift,2023-11-03,PAR
Scarlet & Violet—Paldean Fates,2024-01-26,PAF
Scarlet & Violet—Temporal Forces,2024-03-22,TEF
Scarlet & Violet—Twilight Masquerade,2024-05-24,TWM
Scarlet & Violet—Shrouded Fable,2024-08-02,SFA
Scarlet & Violet—Stellar Crown,2024-09-13,SCR
Scarlet & Violet—Surging Sparks,2024-11-08,SSP
Scarlet & Violet—Prismatic Evolutions,2025-01-17,PRE
Scarlet & Violet—Journey Together,2025-03-28,JTG
Scarlet & Violet—Destined Rivals,2025-05-30,DRI
Scarlet & Violet—Black Bolt,2025-07-18,BLK
Scarlet & Violet—White Flare,2025-07-18,WHT
Mega Evolution,2025-09-26,MEG
Mega Evolution—Phantasmal Flames,2025-11-14,PFL
Mega Evolution—Ascended Heroes,2026-01-30,ASC
Mega Evolution—Perfect Order,2026-03-27,POR
Mega Evolution—Chaos Rising,2026-05-22,CRI
SVE Basic Energies,2023-03-31,SVE
MEE Basic Energies,2025-09-26,MEE
McDonald's Collection 2011,2011-06-17,M11
McDonald's Collection 2012,2012-06-15,M12
McDonald's Collection 2013,2013-10-13,M13
McDonald's Collection 2014,2014-05-23,M14
McDonald's Collection 2015,2015-10-14,M15
McDonald's Collection 2016,2016-08-19,M16
McDonald's Collection 2017,,M17
McDonald's Collection 2018,2018-10-16,M18
McDonald's Collection 2019,2019-10-15,M19
McDonald's Collection 2021,2021-02-09,M21
McDonald's Collection 2022,2022-08-03,M22
McDonald's Collection 2023,2023-07-27,M23
McDonald's Collection 2024,2024-12-04,M24
Trick or Trade 2022,2022-09-01,TT22
Trick or Trade 2023,2023-09-01,TT23
Trick or Trade 2024,2024-08-30,TT24
POP Series 1,,POP1
POP Series 2,,POP2
POP Series 3,,POP3
POP Series 4,,POP4
POP Series 5,,POP5
POP Series 6,,POP6
POP Series 7,,POP7
POP Series 8,,POP8
POP Series 9,,POP9
Play! Pokémon Prize Pack Series One,2022-11-09,PPS1
Play! Pokémon Prize Pack Series Two,2023-01-19,PPS2
Play! Pokémon Prize Pack Series Three,2023-08-14,PPS3
Play! Pokémon Prize Pack Series Four,2024-02-14,PPS4
Play! Pokémon Prize Pack Series Five,2024-08-14,PPS5
Play! Pokémon Prize Pack Series Six,2025-02-14,PPS6
Play! Pokémon Prize Pack Series Seven,2025-08-14,PPS7
Play! Pokémon Prize Pack Series Eight,2026-01-01,PPS8
Southern Islands,2001-07-31,SI
Best of Game,,—
Poké Card Creator Pack,,CC
Pokémon Rumble,2009-12-02,RM
Pokémon Futsal,2020-09-11,FUT20
Pokémon Trading Card Game Classic,2023-11-17,CL
